year,name,english_name,length,genres,release_date,location,nation,director,company,link,awards,nominations,mid,rating,total_box_office,main_actors
2011,朋友也上床,Friends with Benefits,,喜剧 爱情,2011年7月22日,美国上映,美国,威尔·古勒,Screen Gems Inc.,http://movie.mtime.com/131043/,0,0,131043,7.2,-,贾斯汀·汀布莱克 ; Justin Timbe.. ; 米拉·库妮丝 ; Mila Kunis ; 派翠西娅·克拉克森 ; Patricia Cla.. ; 珍娜·艾夫曼 ; Jenna Elfman
2011,夺命深渊,Sanctum,108分钟,冒险 剧情 惊悚,2011年9月9日,中国上映 - 3D,美国,阿里斯特·格里尔森,Alfa Films,http://movie.mtime.com/114405/,0,0,114405,7.6,1.20亿,理查德·劳斯伯格 ; Richard Roxb.. ; 瑞斯·维克菲尔德 ; Rhys Wakefield ; 爱丽丝·帕金逊 ; Alice Parkin.. ; 丹尼尔·维利 ; Daniel Wyllie
2011,财神客栈,Treasure Inn,97分钟,悬疑 喜剧 动作,2011年6月28日,中国上映 - 2D,中国,王晶,博纳影业集团,http://movie.mtime.com/130681/,0,0,130681,5.4,1.05亿,谢霆锋 ; Nicholas Tse ; 张家辉 ; Nick Cheung ; 蔡卓妍 ; Charlene Choi ; 黄奕 ; Crystal Huang
2011,杨门女将之军令如山,Legendary Amazons,110分钟,古装 动作 战争,2011年11月18日,中国上映 - 2D,中国,陈勋奇,上海东方影视发行公司,http://movie.mtime.com/122847/,0,0,122847,3.7,4005.0万,张柏芝 ; Cecilia Cheung ; 刘晓庆 ; Xiaoqing Liu ; 任贤齐 ; Richie Ren ; 黄小瑜 ; Xiaoyu Huang
2011,全球热恋,Love in Space,100分钟,爱情 喜剧,2011年9月8日,中国上映 - 2D,中国,夏永康,华谊兄弟传媒股份有限公司,http://movie.mtime.com/134506/,0,0,134506,6.1,6660.0万,刘若英 ; Rene Liu ; 郭富城 ; Aaron Kwok ; 桂纶镁 ; Lun-mei Guey ; 陈奕迅 ; Eason Chan
2011,点球成金,Moneyball,,剧情 传记 运动,2011年9月23日,美国上映,美国,贝尼特·米勒,哥伦比亚电影公司,http://movie.mtime.com/104425/,0,0,104425,8.2,-,布拉德·皮特 ; Brad Pitt ; 乔纳·希尔 ; Jonah Hill ; 菲利普·塞默·霍夫曼 ; 罗宾·怀特 ; Robin Wright
2011,保罗,Paul,,喜剧 科幻 冒险,2011年2月14日,英国上映,英国,格雷格·莫托拉,环球影业,http://movie.mtime.com/80469/,0,0,80469,7.7,-,西蒙·佩吉 ; Simon Pegg ; 尼克·弗罗斯特 ; Nick Frost ; 塞斯·罗根 ; Seth Rogen ; 米娅·斯塔拉德 ; Mia Stallard
2011,辛亥革命,China 1911,121分钟,战争 剧情 历史,2011年9月23日,中国上映 - 2D,中国,张黎,寰亚电影发行有限公司,http://movie.mtime.com/131848/,0,0,131848,6.5,6300.0万,赵文瑄 ; Winston Chao ; 成龙 ; Jackie Chan ; 李冰冰 ; Bingbing Li ; 孙淳 ; Chun Sun
2011,不再让你孤单,A Beautiful Life,124分钟,爱情 剧情,2011年5月13日,中国上映 - 2D,中国,刘伟强,浙江博纳影视制作有限公司,http://movie.mtime.com/129495/,0,0,129495,7.1,2030.0万,舒淇 ; Hsu Chi ; 刘烨 ; Ye Liu ; 田亮 ; Leon Tian ; 冯丹滢 ; Danying Feng
2011,我家买了动物园,We Bought a Zoo,,剧情 喜剧 家庭,2011年12月23日,美国上映,美国,卡梅伦·克罗,二十世纪福斯电影公司,http://movie.mtime.com/130467/,0,0,130467,7.9,-,马特·达蒙 ; Matt Damon ; 斯嘉丽·约翰逊 ; Scarlett Joh.. ; 艾丽·范宁 ; Elle Fanning ; 托马斯·哈登·丘奇 ; Thomas Haden..
2011,帮助,The Help,146分钟,剧情,2011年8月10日,美国上映,美国,塔特·泰勒,华特·迪士尼电影工作室,http://movie.mtime.com/130682/,4,21,130682,8.4,-,艾玛·斯通 ; Emma Stone ; 维奥拉·戴维斯 ; Viola Davis ; 奥克塔维亚·斯宾瑟 ; Octavia Spen.. ; 布莱丝·达拉斯·霍华德
2011,快乐的大脚2,Happy Feet Two,100分钟,动画 喜剧 家庭,2012年2月21日,中国上映 - 2D/3D/IMAX3D,澳大利亚,乔治·米勒,华纳兄弟影片公司,http://movie.mtime.com/90152/,0,0,90152,7.6,5350.0万,伊利亚·伍德 ; Elijah Wood ; 罗宾·威廉姆斯 ; Robin Williams ; 粉红佳人 ; Pink ; 卡洛斯·阿拉兹拉奎 ; Carlos Alazr..
2011,随波逐流,Just Go with It,117分钟,喜剧 爱情,2011年2月11日,美国上映,美国,丹尼斯·杜根,哥伦比亚电影公司,http://movie.mtime.com/126413/,0,0,126413,7.6,-,亚当·桑德勒 ; Adam Sandler ; 詹妮弗·安妮斯顿 ; Jennifer Ani.. ; 妮可·基德曼 ; Nicole Kidman ; 尼克·斯旺森 ; Nick Swardson
2011,伴娘,Bridesmaids,125分钟,喜剧 爱情,2011年5月13日,美国上映,美国,保罗·费格,环球影业,http://movie.mtime.com/135326/,3,19,135326,7.4,-,克里斯汀·韦格 ; Kristen Wiig ; 萝丝·拜恩 ; Rose Byrne ; 玛娅·鲁道夫 ; Maya Rudolph ; 梅丽莎·麦卡西 ; Melissa McCa..
2011,汉娜,Hanna,,动作 惊悚 冒险,2011年4月8日,美国上映,美国,乔·赖特,焦点电影公司,http://movie.mtime.com/123274/,0,0,123274,6.9,-,西尔莎·罗南 ; Saoirse Ronan ; 艾瑞克·巴纳 ; Eric Bana ; 凯特·布兰切特 ; Cate Blanchett ; Vicky Krieps
2011,后人,The Descendants,115分钟,喜剧 剧情,2011年9月2日,美国上映,美国,亚历山大·佩恩,福斯探照灯公司,http://movie.mtime.com/112197/,4,11,112197,8,-,乔治·克鲁尼 ; George Clooney ; 谢琳·伍德蕾 ; Shailene Woo.. ; 阿玛拉·米勒 ; Amara Miller ; 博·布里吉斯 ; Beau Bridges
2011,魁拔之十万火急,kuiba,83分钟,动画 冒险 动作,2011年7月8日,中国上映 - 2D,中国,王川,中国电影集团公司,http://movie.mtime.com/128937/,0,0,128937,7.5,185.0万,刘婧荦 ; Jingluo Liu ; 王凯 ; Kai Wang ; 季冠霖 ; Guanlin Ji ; 敖磊 ; Lei Ao
